id,ncomments
"7260","0"
"8451","0"
"10635","0"
"11762","1"
"17670","0"
"18448","0"
"21965","0"
"29346","0"
"42115","1"
"47262","1"
"49211","0"
"50684","3"
"53824","0"
"54991","2"
"59893","1"
"64469","0"
"71077","0"
"71146","3"
"74443","1"
"83553","0"
"86458","3"
"94809","0"
"98074","0"
"100919","0"
"102382","1"
"103177","0"
"108518","0"
"118599","0"
"120116","0"
"121493","6"
"124674","0"
"124885","0"
"129544","5"
"129629","0"
"136219","0"
"141399","0"
"144605","0"
"146973","0"
"148879","3"
"150737","0"
"152419","0"
"154430","0"
"155400","0"
"158800","0"
"160373","3"
"162031","0"
"165808","10"
"166617","0"
"167252","0"
"169222","0"
"170689","0"
"172951","5"
"177363","0"
"178578","2"
"179425","1"
"181581","0"
"188134","0"
"192134","3"
"196177","0"
"197388","1"
"198071","1"
"198625","0"
"201153","0"
"202011","10"
"206438","13"
"206793","1"
"209242","0"
"211169","3"
"211941","0"
"212510","2"
"212763","1"
"213568","0"
"229596","0"
"234234","1"
"234872","0"
"239463","0"
"239979","2"
"240224","0"
"243646","2"
"243995","0"
"244019","0"
"244152","0"
"246822","0"
"249540","0"
"249567","0"
"252882","0"
"252974","0"
"254980","0"
"255171","0"
"258889","4"
"261785","1"
"261873","3"
"262756","0"
"264889","0"
"269101","1"
"270010","0"
"270625","0"
"272112","0"
"273452","1"
"280923","1"
"281068","1"
"281843","0"
"283726","2"
"284500","0"
"288732","2"
"289601","0"
"290548","0"
"291744","0"
"295538","2"
"297498","0"
"298363","0"
"299793","2"
"300582","1"
"301024","2"
"308756","0"
"311677","0"
"312621","0"
"317652","0"
"318039","0"
"319508","2"
"321128","0"
"326818","1"
"327654","0"
"331468","0"
"332477","0"
"341956","0"
"343488","1"
"344774","0"
"354068","0"
"359342","1"
"360259","0"
"360838","0"
"379276","0"
"379319","0"
"379445","0"
"379941","0"
"380336","0"
"382353","0"
"382383","0"
"384725","0"
"386982","1"
"390853","0"
"393118","0"
"396324","6"
"399155","1"
"416771","0"
"424517","0"
"425688","0"
"428478","0"
"430386","1"
"430599","0"
"431013","1"
"432570","0"
"432753","0"
"434404","0"
"436760","1"
"437864","0"
"438142","0"
"438704","0"
"439253","0"
"440200","0"
"442658","1"
"443411","0"
"444248","2"
"446981","0"
"447785","5"
"450380","0"
"453404","0"
"454368","0"
"454771","0"
"456837","1"
"457307","0"
"459182","12"
"462160","0"
"462264","3"
"464478","0"
"464580","2"
"466482","1"
"467150","0"
"473173","1"
"473687","1"
"474259","0"
"475421","1"
"476701","0"
"477863","0"
"478498","2"
"480358","0"
"481098","0"
"481160","0"
"483197","0"
"485103","0"
"486000","0"
"492954","1"
"494782","1"
"497428","0"
"502001","0"
"503220","0"
"503967","1"
"507124","0"
"508608","0"
"514307","7"
"517062","0"
"517628","0"
"517635","0"
"518635","0"
"519781","1"
"519872","0"
"521220","0"
"524676","0"
"526711","0"
"529485","0"
"530330","3"
"532070","0"
"534215","1"
"534664","0"
"536352","4"
"538708","0"
"540161","0"
"541219","9"
"544517","0"
"548462","2"
"550210","1"
"550667","0"
"550742","0"
"557979","0"
"558308","1"
"562350","0"
"563037","1"
"564137","0"
"566011","0"
"566179","0"
"566570","2"
"567303","2"
"567858","0"
"568970","0"
"570042","1"
"570605","0"
"572656","0"
"573079","2"
"575157","0"
"577048","1"
"579035","0"
"580817","0"
"582556","1"
"583955","5"
