answers,creation_date,len,postid,question,ratio,raw,tags,title,uniq,words,probability
,2019-06-17 17:11:23.037 UTC,229,56636001,object redeem subscript offer autorenew subscript current activ expir tri store kit demo project xcode 10.2 order test new subscript offer follow wwdc 2019 keynot much troubleshoot abl achiev follow success 1-month autorenew subscript use storekit hit /verifyreceipt endpoint success decrypt receipt data local server success gener signatur subscript offer 1 month free appstor connect success redeem subscript offer renew subscript expir current issu whenev try claim subscript offer autorenew subscript still activ follow error storekit surprisingli howev alert box pop upon tri claim offer say purchas success [environ sandbox] despit get error messag log accord appl document skerrordomain link https://developer.apple.com/documentation/storekit/skerror/cod code 0 unknown error brick wall hit develop process demo project receiv error code errorcode=12 mean invalid signatur resolv sure noth wrong signatur check setup context urg disregard non-optim code practic hack togeth proof concept product action tap claim reward button tri redeem subscript offer code buyproduct method use end action creat in-app purchas servic class much in-app purchas logic live singleton use button action detail method use follow conclus accord wwdc2019 subscript offer lectur user abl redeem subscript offer even activ subscript continu skerrorcode=0 try redeem subscript offer activ subscript abl redeem subscript autorenew subscript expir verifi receipt seen data subscript offer receipt idea go wrong? issu appl side,0.12663755458515283,29,in-app-purchase ios subscription swift,ios in-app purchas skerrordomain code=0 return tri redeem subscript offer within valid subscript period,6,scripting|validate|crypt|signature|sandbox|hack,0.712844967842102
determin subscript still activ user receipt valid best store receipt file server period refresh appl endpoint see anyth chang see ios subscript hard detail look someth quick dirti valid local store expir date subscript user default launch check devic time expir date need revalid devic time expir date check subscript renew second approach insecur non-scal work subscript work littl side project recommend server-sid receipt valid statu track mention #1,2019-07-08 21:45:36.393 UTC,154,56942923,success implement auto-renew subscript app purchas app use storekit still develop mode use sandbox user test subscrib monthli subscript use sandbox environ access premium content userdefault indic user purchas product implement receipt valid problem subscript never expir sinc access premium content anytim want expir subscript i.e max 30 minut given renew happen acceler rate test mode 6 * 5minut question auto renew subscript expir store product purchas userdefault ? receipt valid auto renew subscript expir,0.15584415584415584,24,in-app-purchase receipt-validation storekit subscription swift,auto-renew subscript never expir sandbox,4,validate|scripting|sandbox|insecure,0.5842798948287964
test in-app purchas without testflight alway happen sandbox mode app sign appl distribut app store hit product buy iap iap flow work sandbox fine product well sure determin live mode appl recommend alway send receipt product url first receiv error code send sandbox url fallback realli need fallback mechan part review process appl test iap flow test happen sandbox mode hardcod bool never hit sandbox verif url iap purchas fail build approv,2017-08-10 15:07:50.253 UTC,112,45617422,tri subscript work receipt valid work sandbox mode work yet live url receipt valid code jsonrespons get [\status\ 21007] describ appl doc someon help subscript live mode,0.125,14,in-app-purchase in-app-subscription ios itunesconnect swift,swift 3 itun subscript receipt valid live mode,4,scripting|validate|sandbox|signing,0.495390385389328
first whenev work try purchas servic time appl ask password itun account work sandbox account enter password continu servic avail setup account devic try download someth store time appl ask password account setup describ case forgot sandbox test account password abl proc everi time cancel popup password continu creat anoth sandbox account temporari account appl account devic set avoid popup password observ sometim sandbox test even get purchas time popup paper make purchas call sometim scare make effect hope help problem complet transact reason stay queue problem continu log screen place end fix problem hope help,2017-07-25 15:29:10.567 UTC,147,45307674,develop applic swift languag ad in-app purchas remov ads creat sandbox account test forgot inform account sure inform password entri screen still display flash screen display even reset devic reload benefit actual everyth work properli problem.what glad help thank,0.11564625850340136,17,in-app-purchase ios swift,sandbox test account ask password repeatedli ios in-app purchas,4,sandbox|password|forge|availability,0.4596850275993347
found payment request subscript product trial period payment object appli offer need convert skproductdiscount skpaymentdiscount init method skpaymentdiscount provid clue we’ll need achiev identifi — identifi subscript offer keyidentifi — identifi subscript key use sign offer nonc — throwaway valu gener along signatur signatur — signatur timestamp — timestamp signatur gener find full process tutori,2019-08-30 15:43:10.063 UTC,120,57729754,implement subscript model app prepar everyth creat monthli subscript product yearli add promot offer monthli product promot offer 1 week free trial try purchas monthli product start monthli subscript immedi provid start trial offer first? fetch avail product came 2 product monthli yearli know free trial offer monthli product find purchas free trial offer,0.11666666666666667,14,in-app-purchase ios subscription swift,make iap purchas request free trial period,5,scripting|availability|signing|nonce|signature,0.45234882831573486
ran issu develop proof concept server proper certif seem question relat around use afnetwork 1 2 answer work afnetwork 3 includ modifi work modifi found thank dodi rachmat wicaksono answer op question post answer swift note workaround similar meant use product environ minor unrel issu boolean string web servic return json leav afnetwork swifti sibl alamofir valid http header use afnetwork mean probabl want add list accept content-typ pars json neither like sourc abl queri web servic ios without get cancel error plist set without plist network relat set wonder configur problem comput network try test physic devic rather simul elimin comput configur possibl sourc problem work try test cellular connect rather wifi elimin configur lan e.g proxi server weird sourc problem afnetwork default authent challeng routin pass complet handler result standard system configur trigger someth comput network trigger authent challeng exampl abl reproduc problem use charl disabl charl root certif result sort un-enlighten cancel error particular exampl configur simul trust charl ssl via charl help » ssl proxi » instal charl root certif ios simul say precis problem case uniqu user charl exampl broader class problem trigger authent challeng result afnetwork cancel challeng yield bottom line try vari configur tri connect remot server see identifi configur manifest problem other,2017-09-27 18:16:13.36 UTC,256,46454631,use afnetwork ios 11 get error task &lt;2ec9c49f-1889-4bff-83b4-2047ed6e5f2a>.&lt;1> http load fail error code -999 [1:89] errorcountries.php error domain=nsurlerrordomain code=-999 cancel userinfo={nserrorfailingurlstringkey= https://www.plrc.us/api/countries.php nslocalizeddescription=cancel nserrorfailingurlkey= https://www.plrc.us/api/countries.php } tri possibl pleas help solv thank,0.05078125,13,afnetworking app-transport-security ios swift,afnetwork - http load fail error code -999 swift ios,8,transport|security|scripting|certificate|validate|authentication|trust|ssl,0.4480976164340973
server valid client want complet forgo valid want recommend reject get like time around use test env valid iap document state receipt valid sure verifi receipt product url https://buy.itunes.apple.com/verifyreceipt first appli even case app use sandbox environ app review review product version app sandbox app process receipt must capabl detect 21007 receipt statu code send receipt sandbox receipt valid server https://sandbox.itunes.apple.com/verifyreceipt app approv run product environ send receipt product server first correct action notic specifi receipt valid done code lack fallback sandbox henc reject time around,2019-02-28 02:27:15.027 UTC,143,54917474,look appl make type updat month.. recent app reject messag valid receipt server server need abl handl production-sign app get receipt apple’ test environ recommend approach product server alway valid receipt product app store first valid fail error code sandbox receipt use product valid test environ instead app approv . code use,0.13286713286713286,19,ios swift,valid receipt ios,4,validate|signing|sandbox|forge,0.4240441620349884
,2019-09-19 10:11:37,165,58008675,tri autom valid upload ios project itun connect use command-lin tool archiv project correctli try valid upload project use altool command error error unabl valid applic sign app-specif password gener forgot app-specif password need creat new one go appleid.apple.comcopyright c 2009-2018 appl inc version 1.1.1138 read post suggest remov 2fa account reason option account even realli ideal obviou secur reason see imag option remov 2fa follow error messag tri gener app-specif password realli clear far log onto appleid.apple.com gener app-specif password creat app-specif password try use code place app_specific_password still messag error unabl valid applic sign app-specif password gener forgot app-specif password need creat new one go appleid.apple.comcopyright c 2009-2018 appl inc version 1.1.1138 unsur password creat use connect two clear know assign app-specif password somewher xcode develop portal? label app-specif password written certain format? label app-specif password bundl identifier? altool command keyword? thank advanc andrew,0.1393939393939394,23,app-store-connect ios swift upload xcode,need app spercif passsword tri valid upload ipa file app store via altool command,5,validate|signing|password|forge|security,0.4236981272697449
appl idea app user account underli appl id made purchas store subscript statu user server retriev user log implement server-sid logic prevent one user ids share appl receipt set server manag subscript non-trivi task probabl better explain blog-post elsewher post help start ios subscript hard build great ios in-app purchas subscript server,2019-10-11 10:58:41,138,58339809,implement auto-renew inapp purchas app user need buy subscript complet signup process everyth good one issu face appli check valid subscript expiri first initi screen user log issu is. purchas subscript signup login app account still pick old subscript detail use buy subscript previou app account issu :- make account appl id complet buy subscript process log app account login anoth app account log user without purchas error pick old purchas receipt detail even new app account,0.14492753623188406,20,in-app-purchase swift,valid inapppurchas subscript account login app credenti,6,validate|scripting|login|credential|signing|user account,0.40319958329200745
use problem subscript offer issu github help make work instal sop cryptobridg librari final work ios app client work php code keep mind thing delimit php unicod codepoint i.e use work lowercas uuid millisecond i.e work charm confirm work issu client side devic connect 2 differ itun account one regular one sandbox creat invalid signatur error make sen disconnect regular account sandbox account everyth work walkthrough revenuecat ios subscript offer post contain much detail signatur gener proof concept want server perhap logic determin given user request offer appropri you’v gener signatur nonc timestamp send along back app creat disclaim work revenuecat support subscript offer box sdk code-sign requir https://www.revenuecat.com/2019/04/25/signing-ios-subscription-off found exampl onlin unfortun result posit tutori exampl tri creat someth php seem impract mayb spot someth encod,2019-03-29 09:55:24.633 UTC,167,55414749,want ask someon alreadi implement new offer inapp-subscript auto renew difficulti creat server-sid system creat signatur use p8 key php possibl found appl document sure understand https://developer.apple.com/documentation/storekit/in-app_purchase/generating_a_signature_for_subscription_off,0.1317365269461078,22,in-app-purchase in-app-subscription ios swift xcode,gener signatur subscript offer - xcode - swift,8,scripting|signing|signature|crypt|sandbox|validate|nonce|encode,0.39973184466362
